id,comment,sentiment
1596144183779567_1596855490375103,Israa Aisha Oda هل نقبلون ههههه انا أقبل,1
1596144183779567_1596440137083305,Mohammad Shawahneh للامانة ولا اشي من اللي بقول عنو انا بعملو الدور والباقي عليك,1
1596164447110874_1596646200396032,Sadiya Art حلوان اول راتب ما دخلني بدي,1
1596164447110874_1596746360386016,Saja Abo Salah شو يا بشوفك شايفة البوست ومش عامله منشن تعزميني 😂😂😂😂😂  وك شي مره ب هالحياة خليني اتزكرك بعزومه 😂😂😂😂😂,1
1596164447110874_1596317080428944,Saja Kj شوفي بيحكو عنك شو بدك تعمليلي 😌😌💚💚,1
1596164447110874_1596771480383504,Saja Sholi والله إني بحبك 😌❤😂😂,1
1596164447110874_1596433007084018,Saleem Rashed 😋❤️❤️,1
1596164447110874_1596501520410500,Shadi ❤️ أجار الطريق واصل اخذتو اليوم ......ضل الباقي غدا لبكره😂😂😂✌️,1
1596164447110874_1596211403772845,Siwar M Shukri ابتعرفي إني بحبك صااح 😜😌😍,1
1596164447110874_1596331187094200,SoOs NaSsar مش طالبين اشي ... مسامحتك فلكولا جيبي شاي بدالو 😂😂😂,1
1596164447110874_1596227657104553,Suha Taleeb سوسووو حبيبة قلبي 😂💔,1
1596164447110874_1596193943774591,Suzan ما الي غيرك مامي في كل زمان ومكان hhhhhhhh,1
1596144183779567_1596157460444906,Yes,1
1596408487086470_1596434653750520,آكيد,1
1596126553781330_1596129223781063,آه ..عادي,1
1596126553781330_1596293467097972,آه بقبل 😍😍😍😍😍😍,1
1596408487086470_1596460157081303,آول بعيد الشر عن قلبو . .. مش بس بتبرع بكليه .. لو بدو نور عيوني بعطيه ايااه  #بستااهل,1
1596854720375180_1596862667041052,أبدا من هنا .. بشرط الا تبقى هنا كثيرا,1
1596342497093069_1596353640425288,أُختي 💚 😂 يا عمي فش أحلى من الأخت 💚 بكفي بتكون معك بكل شي💚 Yanal Jaber  ! هسا إمي بتشوف التعليق بتفكر مخبين عنها اشي😂😂😂😂😂😂,1
1596144183779567_1596150250445627,أريح شي انو تطلع ع طبيعتك احلى واحسن,1
1596126553781330_1596156367111682,أقلهن مهرا أكثرهن بركة,1
1596408487086470_1596440807083238,أكــيــد,1
1596144183779567_1596227597104559,أكيد عادي,1
1596244930436159_1596259380434714,ألله يشفيه ويعافيه يارب,1
1596244930436159_1596304010430251,ألله يشفيه ويعافيه يارب,1
1596144183779567_1596171440443508,أه والله مستعده اطلع متل ما حكيت تماما  اصلا ما بحط شي غير واقي شمس,1
1596126553781330_1596198947107424,إذا امو منيحة ومش تاعت مشاكل ليش لا,1
1596727673721218_1596770503716935,إنني مدينة للرائعة رشا رزق  3 للقناص  3 لأجنحة كاندام  3 لأنا وأخي  3 لبوكيمون  3 للكابتن ماجد  3  لسندريلا  3 لداي الشجاع  3 لبابار  3 للحديقة السرية  3 للحن الحياة  3 لأبطال الديجتال  3 ل يولاندا  3 هيفي كروكيت  3 أبي الجنون  3 فليبر ولوباكا  3 رينادا  3 بيل وسبيستيان  3 عهد الأصدقاء  3 ريمي  3 كونان  3 فلة والأقزام السبعة  3 دراغون بول  3 مارتن مستري  3 الجاسوسات  3 باور رينجرز  3 مراهقوا التايتنز  3 سالي  3 أنا وأختي  3 أورسن وأوليفيا  3 بائع الحليب  3 الطاقة الزرقاء  3 حكايات ما أحلاها  3 فيلم الأمل  3 ماروكو  3 المقاتل النبيل  3 فرسان الأرض  3 للكابتن رابح  3 دمتم سالمين  3 شوت  3 الصياد الصغير  3 روبن هود  3 باص المدرسة العجيب  3 أنستازيا  3 عدنان ولينا  3 همتارو  3 القناع  3 موكا موكا  3 باتمان  3 لؤلؤة المحيط  3 الثابتون  3 الدبابة الخضراء  3 سباق القوة والتحدي  3 سابق ولاحق  3 بينكي وبرين  3 والكثير الكثير 😍,1
1596144183779567_1596278937099425,ااااه مستعدة 😎😎,1
1596244930436159_1596370230423629,االله_يشفيه يارب,1
1596408487086470_1596412840419368,ااه أكييد بوافق,1
1596144183779567_1596684787058840,ااه عادي طبعاً 🤚🏻,1
